Player,Team,Position,GamesPlayed,Points,Goals,Assists,Pts_Per_Game,Shooting_Pct,PlusMinus,PIM,GWG,PPG,SHG,Goal_Contribution_Pct,Assists_Per_Game,Shots_Per_Game,Last_Update
Cam York,PHI,D,32,15,2,13,0.47,5.4,3,12,0,1,0,13.3,0.41,1.16,2026-01-03 03:36:03
Michael Eyssimont,BOS,C,38,14,6,8,0.37,7.8,-6,21,1,1,0,42.9,0.21,2.03,2026-01-03 03:36:03
Sam Steel,DAL,C,41,14,6,8,0.34,14.0,-5,18,4,1,0,42.9,0.2,1.05,2026-01-03 03:36:03
Cam Fowler,STL,D,42,14,1,13,0.33,1.7,-19,12,0,0,0,7.1,0.31,1.38,2026-01-03 03:36:03
Alex Iafallo,WPG,L,39,14,7,7,0.36,12.5,2,6,1,2,0,50.0,0.18,1.44,2026-01-03 03:36:03
MacKenzie Weegar,CGY,D,40,14,3,11,0.35,3.2,-14,59,0,0,0,21.4,0.28,2.33,2026-01-03 03:36:03
Ivan Provorov,CBJ,D,39,14,5,9,0.36,6.7,6,14,0,0,0,35.7,0.23,1.92,2026-01-03 03:36:03
Josh Manson,COL,D,39,14,2,12,0.36,3.8,27,47,1,0,0,14.3,0.31,1.33,2026-01-03 03:36:03
Pius Suter,STL,C,37,14,7,7,0.38,11.3,-3,12,2,1,0,50.0,0.19,1.68,2026-01-03 03:36:03
Andrei Kuzmenko,LAK,L,34,14,8,6,0.41,18.2,-7,10,0,5,0,57.1,0.18,1.29,2026-01-03 03:36:03
Morgan Barron,WPG,C,33,14,7,7,0.42,13.2,5,18,2,0,2,50.0,0.21,1.61,2026-01-03 03:36:03
Peyton Krebs,BUF,C,39,14,3,11,0.36,6.4,-3,40,1,0,0,21.4,0.28,1.21,2026-01-03 03:36:03
Jamie Benn,DAL,L,22,14,7,7,0.64,20.0,6,15,0,0,0,50.0,0.32,1.59,2026-01-03 03:36:03
Ryan Poehling,ANA,C,34,14,2,12,0.41,6.1,1,4,0,0,0,14.3,0.35,0.97,2026-01-03 03:36:03
Dylan DeMelo,WPG,D,39,14,2,12,0.36,6.7,10,30,0,0,0,14.3,0.31,0.77,2026-01-03 03:36:03
Noah Hanifin,VGK,D,29,14,2,12,0.48,2.7,-8,4,0,0,0,14.3,0.41,2.59,2026-01-03 03:36:03
Braeden Bowman,VGK,R,24,14,5,9,0.58,12.8,-7,4,1,2,0,35.7,0.38,1.62,2026-01-03 03:36:03
Yakov Trenin,MIN,C,42,14,3,11,0.33,5.8,9,21,1,0,0,21.4,0.26,1.24,2026-01-03 03:36:03
Max Shabanov,NYI,R,28,14,4,10,0.5,11.8,-4,2,0,0,0,28.6,0.36,1.21,2026-01-03 03:36:03
Matthew Wood,NSH,R,33,14,8,6,0.42,14.8,-2,2,0,2,0,57.1,0.18,1.64,2026-01-03 03:36:03
Shane Wright,SEA,C,39,14,6,8,0.36,10.0,-1,4,1,1,0,42.9,0.21,1.54,2026-01-03 03:36:03
Joel Edmundson,LAK,D,39,14,2,12,0.36,3.6,4,17,0,0,0,14.3,0.31,1.41,2026-01-03 03:36:03
Gustav Forsling,FLA,D,40,14,1,13,0.35,2.1,-1,20,0,0,0,7.1,0.32,1.18,2026-01-03 03:36:03
J.J. Moser,TBL,D,38,14,4,10,0.37,7.5,29,22,0,0,0,28.6,0.26,1.39,2026-01-03 03:36:03
Ryan Greene,CHI,C,40,14,4,10,0.35,8.0,0,4,0,1,0,28.6,0.25,1.25,2026-01-03 03:36:03
Adam Gaudette,SJS,R,33,14,8,6,0.42,16.3,-7,14,2,2,0,57.1,0.18,1.48,2026-01-03 03:36:03
Thomas Harley,DAL,D,29,14,2,12,0.48,5.6,-4,10,1,0,0,14.3,0.41,1.24,2026-01-03 03:36:03
Ridly Greig,OTT,C,34,14,5,9,0.41,8.5,-2,43,0,1,0,35.7,0.26,1.74,2026-01-03 03:36:03
Nicolas Roy,TOR,C,37,14,4,10,0.38,10.3,3,6,0,1,0,28.6,0.27,1.05,2026-01-03 03:36:03
Tony DeAngelo,NYI,D,41,13,1,12,0.32,1.4,-10,29,0,0,0,7.7,0.29,1.68,2026-01-03 03:36:03
Hampus Lindholm,BOS,D,33,13,3,10,0.39,5.2,-7,34,2,1,0,23.1,0.3,1.76,2026-01-03 03:36:03
Marat Khusnutdinov,BOS,C,36,13,5,8,0.36,13.5,-3,10,1,0,0,38.5,0.22,1.03,2026-01-03 03:36:03
Anthony Beauvillier,WSH,L,41,13,8,5,0.32,9.4,4,16,3,0,0,61.5,0.12,2.07,2026-01-03 03:36:03
Nikita Zadorov,BOS,D,41,13,1,12,0.32,2.0,9,107,0,0,0,7.7,0.29,1.22,2026-01-03 03:36:03
Michael Rasmussen,DET,C,37,13,5,8,0.35,12.2,-3,4,0,0,0,38.5,0.22,1.11,2026-01-03 03:36:03
Jordan Martinook,CAR,L,37,13,6,7,0.35,12.8,3,17,2,0,1,46.2,0.19,1.27,2026-01-03 03:36:03
Brendan Gallagher,MTL,R,40,13,2,11,0.32,3.3,2,16,0,1,0,15.4,0.28,1.5,2026-01-03 03:36:03
Drew Doughty,LAK,D,32,13,3,10,0.41,7.0,9,14,0,0,0,23.1,0.31,1.34,2026-01-03 03:36:03
Yanni Gourde,TBL,C,40,13,5,8,0.32,8.6,3,35,1,0,0,38.5,0.2,1.45,2026-01-03 03:36:03
Ethen Frank,WSH,C,30,13,6,7,0.43,15.0,4,10,0,1,0,46.2,0.23,1.33,2026-01-03 03:36:03
Josh Anderson,MTL,R,40,13,9,4,0.32,17.3,-8,38,0,0,1,69.2,0.1,1.3,2026-01-03 03:36:03
Rasmus Sandin,WSH,D,35,13,2,11,0.37,4.9,8,8,0,0,0,15.4,0.31,1.17,2026-01-03 03:36:03
Anthony Duclair,NYI,L,39,13,4,9,0.33,8.5,-1,8,1,1,0,30.8,0.23,1.21,2026-01-03 03:36:03
Matt Savoie,EDM,C,41,13,7,6,0.32,13.5,1,12,1,2,1,53.8,0.15,1.27,2026-01-03 03:36:03
Mark Kastelic,BOS,C,41,13,6,7,0.32,10.7,5,78,2,0,0,46.2,0.17,1.37,2026-01-03 03:36:03
Parker Kelly,COL,C,39,13,7,6,0.33,13.2,8,14,2,0,1,53.8,0.15,1.36,2026-01-03 03:36:03
Justin Sourdif,WSH,R,40,13,5,8,0.32,10.4,10,17,0,1,0,38.5,0.2,1.2,2026-01-03 03:36:03
Michael Carcone,UTA,L,39,13,6,7,0.33,7.7,-3,18,0,1,0,46.2,0.18,2.0,2026-01-03 03:36:03
Tyson Foerster,PHI,R,21,13,10,3,0.62,24.4,7,18,2,3,0,76.9,0.14,1.95,2026-01-03 03:36:03
J.T. Compher,DET,L,42,13,4,9,0.31,8.7,-8,17,0,0,0,30.8,0.21,1.1,2026-01-03 03:36:03
Thomas Chabot,OTT,D,24,13,2,11,0.54,6.1,6,10,0,1,0,15.4,0.46,1.38,2026-01-03 03:36:03
Brady Skjei,NSH,D,40,13,1,12,0.32,1.6,-11,18,0,0,0,7.7,0.3,1.52,2026-01-03 03:36:03
Parker Wotherspoon,PIT,D,39,13,2,11,0.33,5.4,-1,30,1,0,0,15.4,0.28,0.95,2026-01-03 03:36:03
Mavrik Bourque,DAL,C,41,13,6,7,0.32,8.8,-10,4,0,0,0,46.2,0.17,1.66,2026-01-03 03:36:03
Devon Toews,COL,D,39,13,1,12,0.33,1.5,26,16,0,0,0,7.7,0.31,1.72,2026-01-03 03:36:03
Yegor Sharangovich,CGY,C,36,13,8,5,0.36,12.5,-9,2,1,2,0,61.5,0.14,1.78,2026-01-03 03:36:03
Trevor Moore,LAK,L,37,13,5,8,0.35,7.5,0,6,1,0,1,38.5,0.22,1.81,2026-01-03 03:36:03
Logan Stanley,WPG,D,39,13,7,6,0.33,15.9,1,76,1,0,0,53.8,0.15,1.13,2026-01-03 03:36:03
Charle-Edouard D'Astous,TBL,D,33,13,3,10,0.39,7.9,-2,39,2,0,0,23.1,0.3,1.15,2026-01-03 03:36:03
Connor Zary,CGY,C,38,13,6,7,0.34,12.2,-2,12,1,2,0,46.2,0.18,1.29,2026-01-03 03:36:03
Jordan Spence,OTT,D,30,13,2,11,0.43,4.8,8,6,0,0,0,15.4,0.37,1.4,2026-01-03 03:36:03
Justin Hryckowian,DAL,C,40,13,6,7,0.32,14.6,-3,21,1,1,0,46.2,0.18,1.02,2026-01-03 03:36:03
Jonas Brodin,MIN,D,37,13,3,10,0.35,8.3,16,8,1,0,0,23.1,0.27,0.97,2026-01-03 03:36:03
Jimmy Snuggerud,STL,R,30,13,6,7,0.43,11.3,-5,6,2,2,0,46.2,0.23,1.77,2026-01-03 03:36:03
Rickard Rakell,PIT,R,19,13,4,9,0.68,8.3,-2,2,0,2,0,30.8,0.47,2.53,2026-01-03 03:36:03
Philip Broberg,STL,D,42,13,2,11,0.31,3.7,0,4,0,0,0,15.4,0.26,1.29,2026-01-03 03:36:03
Gage Goncalves,TBL,C,36,12,4,8,0.33,14.3,9,23,1,0,0,33.3,0.22,0.78,2026-01-03 03:36:03
Alex Newhook,MTL,C,17,12,6,6,0.71,25.0,7,8,2,1,0,50.0,0.35,1.41,2026-01-03 03:36:03
Pontus Holmberg,TBL,R,33,12,6,6,0.36,14.3,7,12,2,0,0,50.0,0.18,1.27,2026-01-03 03:36:03
Louis Crevier,CHI,D,39,12,3,9,0.31,5.2,1,37,1,0,1,25.0,0.23,1.49,2026-01-03 03:36:03
Oskar Sundqvist,STL,C,33,12,2,10,0.36,8.3,-13,12,0,0,0,16.7,0.3,0.73,2026-01-03 03:36:03
Ilya Mikheyev,CHI,R,36,12,8,4,0.33,12.5,-5,10,2,0,0,66.7,0.11,1.78,2026-01-03 03:36:03
Jonathan Toews,WPG,C,39,12,3,9,0.31,5.6,-13,18,0,1,0,25.0,0.23,1.38,2026-01-03 03:36:03
Nate Schmidt,UTA,D,41,12,2,10,0.29,4.9,14,8,0,0,0,16.7,0.24,1.0,2026-01-03 03:36:03
Artem Zub,OTT,D,38,12,3,9,0.32,7.3,7,24,0,0,0,25.0,0.24,1.08,2026-01-03 03:36:03
Brett Howden,VGK,C,35,12,7,5,0.34,17.9,-7,20,0,0,0,58.3,0.14,1.11,2026-01-03 03:36:03
Noah Ostlund,BUF,C,28,12,7,5,0.43,22.6,7,2,0,1,0,58.3,0.18,1.11,2026-01-03 03:36:03
Noah Laba,NYR,C,42,12,5,7,0.29,11.6,1,20,1,1,0,41.7,0.17,1.02,2026-01-03 03:36:03
Tom Willander,VAN,D,30,12,2,10,0.4,7.7,-2,6,0,0,0,16.7,0.33,0.87,2026-01-03 03:36:03
Victor Hedman,TBL,D,18,12,0,12,0.67,0.0,0,6,0,0,0,0.0,0.67,1.39,2026-01-03 03:36:03
James van Riemsdyk,DET,L,33,12,10,2,0.36,16.9,-10,10,1,4,0,83.3,0.06,1.79,2026-01-03 03:36:03
Josh Norris,BUF,C,13,12,5,7,0.92,26.3,0,0,1,1,0,41.7,0.54,1.46,2026-01-03 03:36:03
